Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
1,164,908,Pending,3/5/2025 5:26
2,353,391,Cancelled,3/11/2025 10:24
3,626,492,Completed,3/21/2025 0:59
4,61,933,Cancelled,3/4/2025 9:08
5,345,229,Pending,3/14/2025 15:17
6,273,607,Cancelled,3/2/2025 2:50
7,735,256,Cancelled,3/7/2025 23:58
8,382,900,Pending,3/5/2025 7:07
9,278,807,Completed,3/18/2025 2:26
10,669,975,Completed,3/6/2025 19:57
11,290,118,Pending,3/4/2025 23:01
12,694,739,Completed,3/1/2025 21:55
13,951,959,Pending,3/8/2025 13:08
14,426,233,Cancelled,3/8/2025 16:08
15,684,97,Completed,3/7/2025 8:00
16,320,836,Cancelled,3/7/2025 6:17
17,465,588,Cancelled,3/15/2025 16:49
18,952,729,Completed,3/9/2025 2:04
19,798,399,Pending,3/16/2025 6:32
20,792,88,Completed,3/7/2025 12:15
21,281,493,Completed,3/4/2025 0:29
22,345,757,Pending,3/9/2025 3:11
23,674,526,Completed,3/6/2025 22:55
24,594,717,Pending,3/15/2025 0:51
25,371,10,Completed,3/10/2025 7:10
26,959,233,Cancelled,3/21/2025 4:34
27,58,487,Completed,3/17/2025 5:07
28,586,189,Pending,3/19/2025 4:15
29,812,769,Pending,3/14/2025 17:09
30,193,228,Pending,3/7/2025 4:05
31,937,546,Completed,3/3/2025 2:06
32,624,371,Cancelled,3/17/2025 12:57
33,905,386,Cancelled,3/16/2025 14:26
34,713,271,Pending,3/18/2025 1:17
35,190,93,Cancelled,3/9/2025 21:40
36,597,562,Pending,3/16/2025 3:41
37,832,920,Cancelled,3/13/2025 3:50
38,757,380,Cancelled,3/18/2025 5:29
39,58,923,Pending,3/12/2025 9:57
40,141,789,Pending,3/10/2025 4:14
41,415,336,Pending,3/18/2025 4:33
42,886,256,Pending,3/7/2025 12:22
43,611,306,Pending,3/16/2025 17:08
44,825,31,Pending,3/9/2025 13:02
45,457,569,Completed,3/13/2025 7:07
46,556,412,Cancelled,3/12/2025 2:30
47,746,48,Pending,3/7/2025 10:45
48,895,373,Pending,3/9/2025 23:13
49,190,678,Pending,3/20/2025 13:44
50,251,804,Pending,3/19/2025 13:18
51,543,255,Pending,3/4/2025 10:59
52,507,517,Cancelled,3/15/2025 14:58
53,37,449,Completed,3/11/2025 9:43
54,534,737,Cancelled,3/6/2025 1:44
55,438,601,Completed,3/9/2025 0:13
56,690,452,Completed,3/17/2025 14:29
57,225,295,Completed,3/11/2025 21:44
58,258,149,Completed,3/13/2025 15:12
59,797,371,Cancelled,3/2/2025 23:28
60,390,391,Pending,3/16/2025 15:03
61,990,550,Cancelled,3/8/2025 21:06
62,258,678,Pending,3/17/2025 14:07
63,119,279,Pending,3/8/2025 21:30
64,771,90,Completed,3/17/2025 13:38
65,424,532,Cancelled,3/15/2025 15:00
66,310,730,Cancelled,3/11/2025 19:22
67,486,817,Completed,3/17/2025 17:22
68,526,321,Pending,3/2/2025 4:49
69,321,45,Completed,3/10/2025 6:15
70,203,479,Completed,3/19/2025 15:41
71,538,897,Cancelled,3/2/2025 15:34
72,851,44,Completed,3/4/2025 10:49
73,708,222,Pending,3/5/2025 23:42
74,487,62,Cancelled,3/2/2025 13:20
75,909,161,Cancelled,3/6/2025 11:44
76,877,185,Completed,3/13/2025 22:38
77,65,324,Completed,3/4/2025 22:57
78,504,151,Completed,3/15/2025 13:41
79,188,795,Cancelled,3/3/2025 1:13
80,153,35,Pending,3/21/2025 1:58
81,964,876,Completed,3/3/2025 9:13
82,641,638,Pending,3/9/2025 13:21
83,805,695,Completed,3/18/2025 19:37
84,925,554,Pending,3/9/2025 2:10
85,197,624,Completed,3/1/2025 9:52
86,790,425,Cancelled,3/2/2025 9:25
87,829,918,Completed,3/13/2025 10:50
88,233,310,Completed,3/3/2025 2:47
89,912,632,Cancelled,3/5/2025 20:34
90,378,27,Completed,3/4/2025 16:53
91,251,373,Completed,3/18/2025 18:10
92,136,65,Pending,3/7/2025 11:12
93,600,129,Pending,3/16/2025 11:30
94,505,523,Cancelled,3/19/2025 5:04
95,673,352,Cancelled,3/11/2025 10:52
96,937,500,Completed,3/17/2025 7:56
97,381,802,Pending,3/2/2025 2:12
98,741,116,Cancelled,3/13/2025 13:30
99,101,995,Completed,3/1/2025 2:21
100,101,892,Pending,3/19/2025 19:11
101,16,654,Cancelled,3/7/2025 2:19
102,110,772,Completed,3/16/2025 6:03
103,463,423,Completed,3/7/2025 12:06
104,882,52,Completed,3/5/2025 0:36
105,89,619,Completed,3/15/2025 23:07
106,674,589,Cancelled,3/6/2025 3:27
107,374,467,Completed,3/21/2025 0:40
108,786,909,Pending,3/8/2025 9:17
109,696,923,Pending,3/15/2025 16:28
110,469,196,Pending,3/1/2025 0:09
111,214,723,Pending,3/14/2025 11:40
112,984,970,Pending,3/4/2025 22:00
113,913,855,Pending,3/1/2025 23:11
114,870,840,Completed,3/6/2025 10:36
115,663,957,Pending,3/5/2025 0:19
116,162,908,Pending,3/16/2025 17:02
117,864,384,Pending,3/10/2025 1:30
118,108,927,Cancelled,3/7/2025 4:56
119,56,75,Cancelled,3/18/2025 15:38
120,233,101,Pending,3/10/2025 23:33
121,460,560,Completed,3/14/2025 11:44
122,160,292,Cancelled,3/15/2025 0:40
123,715,529,Completed,3/20/2025 13:50
124,252,303,Cancelled,3/20/2025 6:55
125,765,329,Pending,3/18/2025 21:40
126,202,499,Completed,3/11/2025 16:19
127,463,865,Completed,3/12/2025 16:00
128,589,100,Cancelled,3/10/2025 19:29
129,318,555,Pending,3/3/2025 15:50
130,660,608,Cancelled,3/13/2025 8:51
131,640,184,Cancelled,3/7/2025 5:12
132,640,835,Cancelled,3/6/2025 2:44
133,109,866,Pending,3/10/2025 13:34
134,650,404,Pending,3/18/2025 0:37
135,256,12,Cancelled,3/6/2025 19:49
136,493,3,Pending,3/16/2025 22:58
137,46,548,Completed,3/6/2025 3:22
138,648,392,Cancelled,3/2/2025 19:39
139,668,831,Completed,3/2/2025 1:08
140,548,168,Completed,3/18/2025 1:19
141,149,985,Pending,3/3/2025 20:25
142,782,128,Cancelled,3/16/2025 10:00
143,9,936,Completed,3/5/2025 11:36
144,457,390,Cancelled,3/12/2025 14:06
145,114,695,Pending,3/13/2025 5:28
146,769,420,Completed,3/8/2025 1:42
147,795,462,Completed,3/2/2025 13:48
148,174,612,Completed,3/10/2025 4:52
149,909,763,Cancelled,3/17/2025 15:13
150,991,107,Cancelled,3/3/2025 13:37
151,359,419,Completed,3/12/2025 5:30
152,797,988,Pending,3/6/2025 3:51
153,582,58,Cancelled,3/7/2025 16:14
154,495,285,Pending,3/20/2025 12:04
155,413,272,Completed,3/17/2025 8:27
156,870,666,Completed,3/16/2025 5:59
157,557,600,Completed,3/16/2025 14:13
158,297,331,Cancelled,3/15/2025 0:35
159,496,420,Completed,3/12/2025 15:27
160,446,566,Completed,3/19/2025 19:48
161,579,901,Pending,3/14/2025 22:58
162,427,337,Completed,3/15/2025 10:31
163,67,302,Cancelled,3/2/2025 9:04
164,918,35,Pending,3/4/2025 3:24
165,616,254,Pending,3/11/2025 4:53
166,19,297,Completed,3/3/2025 23:05
167,873,63,Completed,3/20/2025 1:38
168,609,440,Completed,3/1/2025 16:18
169,188,353,Completed,3/8/2025 0:38
170,157,374,Pending,3/5/2025 19:34
171,290,134,Pending,3/2/2025 17:02
172,226,140,Cancelled,3/21/2025 2:08
173,504,390,Completed,3/18/2025 6:41
174,277,947,Cancelled,3/3/2025 18:22
175,813,745,Pending,3/7/2025 21:27
176,35,276,Cancelled,3/12/2025 1:34
177,425,96,Cancelled,3/4/2025 20:52
178,437,262,Cancelled,3/5/2025 5:55
179,787,339,Completed,3/9/2025 9:23
180,644,983,Pending,3/5/2025 1:27
181,465,996,Pending,3/16/2025 9:20
182,579,342,Pending,3/19/2025 1:41
183,879,382,Cancelled,3/13/2025 12:37
184,80,50,Cancelled,3/2/2025 4:01
185,486,585,Pending,3/21/2025 4:05
186,153,475,Pending,3/11/2025 21:04
187,381,344,Pending,3/3/2025 12:36
188,896,648,Pending,3/11/2025 22:19
189,152,45,Completed,3/13/2025 9:32
190,152,550,Pending,3/20/2025 9:21
191,206,448,Completed,3/10/2025 11:59
192,335,246,Completed,3/2/2025 10:05
193,670,601,Completed,3/3/2025 2:13
194,771,726,Cancelled,3/15/2025 9:44
195,40,294,Completed,3/15/2025 20:49
196,111,416,Completed,3/20/2025 19:37
197,418,324,Cancelled,3/3/2025 21:41
198,985,495,Completed,3/4/2025 1:17
199,913,439,Cancelled,3/9/2025 3:22
200,97,350,Completed,3/8/2025 21:48
201,671,94,Completed,3/17/2025 19:09
202,415,917,Cancelled,3/18/2025 8:50
203,179,949,Completed,3/16/2025 13:08
204,824,571,Pending,3/18/2025 4:10
205,915,531,Cancelled,3/14/2025 3:27
206,94,747,Completed,3/6/2025 16:41
207,937,398,Completed,3/18/2025 16:07
208,166,874,Pending,3/9/2025 7:30
209,893,594,Cancelled,3/12/2025 23:25
210,813,388,Pending,3/11/2025 22:06
211,406,787,Pending,3/2/2025 12:10
212,603,382,Completed,3/8/2025 0:30
213,227,631,Cancelled,3/9/2025 9:19
214,479,893,Pending,3/7/2025 8:09
215,33,762,Cancelled,3/8/2025 11:37
216,794,685,Pending,3/17/2025 23:16
217,998,590,Completed,3/6/2025 8:04
218,523,176,Pending,3/6/2025 20:46
219,488,255,Pending,3/3/2025 8:55
220,374,27,Cancelled,3/2/2025 23:05
221,837,745,Cancelled,3/1/2025 23:38
222,550,747,Pending,3/14/2025 23:06
223,486,407,Cancelled,3/8/2025 19:20
224,924,893,Cancelled,3/1/2025 16:48
225,217,850,Cancelled,3/20/2025 20:00
226,981,221,Completed,3/10/2025 14:59
227,925,480,Completed,3/6/2025 5:40
228,325,607,Pending,3/10/2025 10:07
229,69,407,Completed,3/19/2025 23:40
230,915,686,Pending,3/20/2025 4:11
231,208,281,Pending,3/15/2025 22:39
232,250,856,Cancelled,3/17/2025 4:43
233,922,858,Pending,3/19/2025 18:07
234,312,838,Pending,3/17/2025 6:35
235,135,529,Cancelled,3/10/2025 15:40
236,327,301,Completed,3/13/2025 19:29
237,507,112,Cancelled,3/12/2025 0:27
238,572,728,Cancelled,3/20/2025 15:24
239,589,4,Pending,3/1/2025 21:11
240,183,970,Completed,3/14/2025 12:59
241,558,103,Completed,3/12/2025 2:23
242,380,154,Cancelled,3/6/2025 13:16
243,69,98,Cancelled,3/13/2025 2:42
244,163,250,Cancelled,3/11/2025 2:32
245,725,701,Pending,3/18/2025 16:16
246,615,489,Completed,3/10/2025 5:50
247,861,138,Completed,3/12/2025 7:34
248,458,321,Pending,3/9/2025 3:12
249,810,541,Completed,3/16/2025 9:29
250,475,201,Cancelled,3/19/2025 21:41
251,832,926,Cancelled,3/1/2025 15:16
252,544,242,Completed,3/20/2025 3:22
253,323,863,Cancelled,3/10/2025 10:56
254,940,1,Completed,3/4/2025 3:59
255,256,438,Pending,3/18/2025 17:31
256,822,47,Completed,3/19/2025 8:03
257,191,555,Completed,3/4/2025 2:28
258,520,939,Cancelled,3/3/2025 6:16
259,467,517,Pending,3/7/2025 13:30
260,137,173,Pending,3/5/2025 15:11
261,602,735,Pending,3/13/2025 13:58
262,188,706,Completed,3/16/2025 0:40
263,22,800,Completed,3/16/2025 9:37
264,496,59,Cancelled,3/3/2025 13:21
265,92,103,Cancelled,3/15/2025 7:39
266,367,376,Completed,3/2/2025 7:07
267,518,382,Cancelled,3/11/2025 1:30
268,738,317,Pending,3/16/2025 11:58
269,73,880,Completed,3/13/2025 14:01
270,568,477,Completed,3/17/2025 9:23
271,160,442,Cancelled,3/6/2025 12:00
272,417,906,Cancelled,3/18/2025 4:45
273,870,172,Pending,3/19/2025 0:34
274,304,481,Pending,3/15/2025 22:55
275,906,849,Completed,3/2/2025 11:36
276,786,538,Completed,3/16/2025 11:54
277,766,109,Completed,3/9/2025 12:24
278,258,360,Pending,3/14/2025 3:18
279,531,808,Pending,3/13/2025 17:05
280,150,282,Cancelled,3/1/2025 12:21
281,483,718,Cancelled,3/12/2025 17:17
282,161,298,Cancelled,3/14/2025 7:06
283,97,102,Pending,3/7/2025 8:11
284,554,702,Pending,3/19/2025 8:45
285,387,213,Completed,3/18/2025 14:32
286,335,602,Pending,3/18/2025 20:45
287,952,42,Cancelled,3/18/2025 2:15
288,63,964,Completed,3/19/2025 2:29
289,573,86,Pending,3/17/2025 2:03
290,664,500,Cancelled,3/8/2025 12:13
291,886,375,Completed,3/6/2025 7:49
292,190,413,Completed,3/13/2025 20:27
293,721,837,Completed,3/9/2025 13:31
294,662,118,Pending,3/18/2025 6:45
295,25,493,Pending,3/13/2025 18:39
296,940,158,Cancelled,3/7/2025 18:01
297,494,454,Completed,3/14/2025 17:04
298,96,595,Cancelled,3/19/2025 6:08
299,911,319,Pending,3/1/2025 3:03
300,81,645,Pending,3/14/2025 16:21
301,489,287,Cancelled,3/2/2025 7:53
302,633,774,Pending,3/3/2025 18:50
303,358,66,Cancelled,3/3/2025 12:42
304,763,883,Pending,3/12/2025 0:49
305,464,759,Pending,3/17/2025 18:55
306,651,703,Pending,3/5/2025 0:09
307,610,34,Pending,3/13/2025 21:15
308,227,6,Completed,3/17/2025 18:23
309,6,514,Cancelled,3/14/2025 2:19
310,107,997,Cancelled,3/8/2025 21:25
311,294,187,Cancelled,3/6/2025 21:22
312,904,199,Completed,3/8/2025 12:44
313,143,880,Cancelled,3/6/2025 10:07
314,657,488,Cancelled,3/19/2025 12:18
315,254,854,Completed,3/5/2025 22:09
316,896,417,Completed,3/10/2025 22:44
317,747,660,Pending,3/11/2025 5:40
318,861,735,Completed,3/4/2025 20:11
319,888,345,Pending,3/5/2025 5:34
320,241,815,Completed,3/12/2025 1:29
321,116,267,Completed,3/12/2025 18:14
322,256,824,Cancelled,3/5/2025 5:22
323,670,104,Completed,3/15/2025 13:58
324,777,503,Completed,3/3/2025 22:57
325,49,586,Completed,3/11/2025 14:05
326,690,649,Pending,3/14/2025 14:41
327,853,983,Completed,3/17/2025 16:49
328,577,183,Completed,3/6/2025 15:44
329,419,323,Pending,3/14/2025 3:09
330,275,354,Completed,3/1/2025 6:24
331,585,262,Cancelled,3/18/2025 18:37
332,460,32,Completed,3/3/2025 2:40
333,332,368,Completed,3/13/2025 8:50
334,447,811,Cancelled,3/18/2025 17:27
335,453,643,Cancelled,3/11/2025 19:10
336,164,185,Cancelled,3/17/2025 11:49
337,405,756,Completed,3/3/2025 19:58
338,609,301,Pending,3/21/2025 4:08
339,52,497,Completed,3/6/2025 23:14
340,148,495,Completed,3/10/2025 23:31
341,386,473,Completed,3/10/2025 14:46
342,892,999,Cancelled,3/11/2025 6:57
343,553,62,Pending,3/18/2025 15:08
344,992,160,Cancelled,3/10/2025 21:51
345,223,440,Pending,3/17/2025 12:29
346,548,87,Pending,3/15/2025 6:06
347,564,283,Pending,3/11/2025 20:37
348,291,876,Cancelled,3/7/2025 5:24
349,262,245,Pending,3/5/2025 19:39
350,909,554,Completed,3/19/2025 18:27
351,528,936,Pending,3/2/2025 10:41
352,427,797,Completed,3/19/2025 7:00
353,730,258,Pending,3/7/2025 21:29
354,608,873,Pending,3/9/2025 15:33
355,398,880,Pending,3/8/2025 23:39
356,840,663,Cancelled,3/17/2025 6:07
357,536,704,Cancelled,3/8/2025 2:25
358,562,717,Completed,3/9/2025 12:56
359,107,531,Cancelled,3/14/2025 22:15
360,743,324,Cancelled,3/8/2025 0:38
361,882,809,Pending,3/8/2025 5:54
362,538,9,Cancelled,3/2/2025 9:04
363,687,131,Pending,3/13/2025 19:31
364,822,576,Completed,3/10/2025 21:47
365,207,152,Pending,3/7/2025 3:03
366,695,691,Pending,3/2/2025 18:29
367,262,688,Completed,3/7/2025 19:46
368,788,682,Pending,3/16/2025 11:59
369,84,105,Completed,3/10/2025 2:34
370,330,38,Cancelled,3/14/2025 17:07
371,677,658,Pending,3/20/2025 3:44
372,804,2,Cancelled,3/3/2025 9:19
373,866,420,Pending,3/19/2025 10:49
374,72,696,Pending,3/10/2025 14:14
375,342,908,Completed,3/14/2025 2:51
376,981,990,Pending,3/15/2025 21:23
377,901,190,Pending,3/8/2025 5:43
378,765,904,Completed,3/8/2025 13:50
379,271,249,Cancelled,3/14/2025 23:15
380,217,855,Pending,3/11/2025 18:33
381,926,96,Cancelled,3/9/2025 9:09
382,782,804,Cancelled,3/20/2025 5:46
383,920,673,Completed,3/9/2025 10:55
384,389,843,Completed,3/5/2025 23:56
385,594,494,Pending,3/3/2025 21:27
386,979,553,Cancelled,3/4/2025 9:36
387,94,547,Cancelled,3/19/2025 21:23
388,16,418,Completed,3/5/2025 1:43
389,151,965,Cancelled,3/4/2025 19:08
390,398,414,Completed,3/10/2025 18:36
391,807,950,Completed,3/4/2025 20:52
392,116,600,Completed,3/8/2025 21:48
393,390,684,Pending,3/21/2025 0:15
394,211,697,Pending,3/5/2025 16:12
395,681,785,Cancelled,3/16/2025 12:18
396,50,436,Completed,3/16/2025 23:56
397,45,435,Pending,3/4/2025 14:58
398,548,459,Pending,3/6/2025 17:22
399,947,241,Pending,3/6/2025 19:27
400,373,613,Completed,3/15/2025 12:26
401,174,595,Pending,3/11/2025 0:28
402,379,872,Pending,3/8/2025 0:59
403,141,693,Pending,3/2/2025 8:42
404,475,63,Cancelled,3/12/2025 23:03
405,548,858,Completed,3/18/2025 2:49
406,606,833,Pending,3/5/2025 8:16
407,722,935,Pending,3/12/2025 18:28
408,730,390,Pending,3/8/2025 8:56
409,995,159,Cancelled,3/8/2025 21:36
410,114,974,Cancelled,3/1/2025 15:29
411,525,406,Pending,3/18/2025 16:53
412,981,220,Cancelled,3/3/2025 11:44
413,88,791,Completed,3/10/2025 20:51
414,826,544,Cancelled,3/8/2025 19:31
415,485,144,Pending,3/11/2025 13:35
416,900,357,Cancelled,3/12/2025 7:04
417,716,972,Pending,3/14/2025 7:18
418,632,500,Cancelled,3/1/2025 16:52
419,221,869,Pending,3/11/2025 9:41
420,257,977,Cancelled,3/11/2025 4:00
421,572,173,Pending,3/8/2025 14:48
422,534,849,Completed,3/12/2025 10:29
423,915,344,Pending,3/21/2025 5:41
424,755,537,Cancelled,3/2/2025 13:00
425,797,237,Pending,3/1/2025 15:13
426,101,538,Completed,3/18/2025 7:28
427,412,811,Cancelled,3/17/2025 0:53
428,225,613,Completed,3/7/2025 15:13
429,528,299,Pending,3/14/2025 18:15
430,861,972,Pending,3/3/2025 1:58
431,115,679,Completed,3/20/2025 11:53
432,427,507,Pending,3/15/2025 13:30
433,245,6,Completed,3/14/2025 12:40
434,356,596,Completed,3/15/2025 21:14
435,129,531,Pending,3/14/2025 10:48
436,952,962,Completed,3/13/2025 3:13
437,230,628,Cancelled,3/15/2025 2:41
438,612,770,Pending,3/18/2025 13:00
439,480,432,Cancelled,3/4/2025 3:32
440,265,460,Cancelled,3/14/2025 21:06
441,968,483,Cancelled,3/8/2025 11:28
442,499,446,Cancelled,3/19/2025 16:01
443,879,124,Completed,3/5/2025 12:55
444,128,660,Cancelled,3/11/2025 3:57
445,602,485,Cancelled,3/19/2025 8:55
446,524,874,Cancelled,3/10/2025 21:31
447,801,616,Cancelled,3/13/2025 2:49
448,902,770,Cancelled,3/17/2025 11:37
449,865,493,Pending,3/17/2025 6:16
450,29,554,Cancelled,3/20/2025 20:03
451,683,216,Completed,3/13/2025 8:06
452,365,782,Cancelled,3/18/2025 16:04
453,531,468,Cancelled,3/12/2025 22:16
454,828,929,Completed,3/20/2025 5:18
455,984,665,Pending,3/6/2025 22:55
456,820,858,Pending,3/2/2025 16:44
457,79,508,Pending,3/5/2025 4:11
458,178,385,Completed,3/10/2025 3:13
459,329,74,Cancelled,3/13/2025 7:50
460,214,879,Completed,3/5/2025 20:10
461,492,322,Pending,3/4/2025 16:22
462,517,921,Completed,3/5/2025 21:04
463,615,269,Completed,3/18/2025 11:00
464,611,306,Completed,3/1/2025 3:32
465,632,266,Pending,3/19/2025 21:43
466,699,285,Pending,3/21/2025 4:34
467,216,353,Completed,3/13/2025 16:21
468,371,912,Completed,3/17/2025 17:09
469,404,565,Completed,3/15/2025 7:13
470,215,195,Cancelled,3/20/2025 13:44
471,11,337,Cancelled,3/21/2025 4:51
472,958,888,Pending,3/4/2025 21:52
473,593,258,Pending,3/14/2025 11:39
474,345,97,Cancelled,3/2/2025 6:57
475,260,901,Cancelled,3/18/2025 10:26
476,166,536,Pending,3/3/2025 13:34
477,65,301,Cancelled,3/11/2025 13:18
478,844,156,Cancelled,3/2/2025 20:18
479,216,923,Pending,3/21/2025 5:08
480,548,670,Pending,3/17/2025 23:08
481,144,423,Completed,3/10/2025 4:38
482,446,883,Completed,3/10/2025 17:30
483,674,223,Completed,3/13/2025 15:25
484,565,833,Cancelled,3/14/2025 13:15
485,321,505,Cancelled,3/6/2025 17:49
486,106,645,Cancelled,3/4/2025 11:54
487,654,968,Completed,3/10/2025 19:51
488,194,125,Pending,3/18/2025 6:30
489,969,99,Completed,3/10/2025 6:44
490,891,511,Pending,3/9/2025 11:20
491,1,574,Completed,3/8/2025 7:16
492,672,214,Pending,3/10/2025 9:41
493,74,294,Cancelled,3/18/2025 5:15
494,675,651,Cancelled,3/18/2025 7:39
495,665,878,Completed,3/17/2025 4:48
496,599,404,Pending,3/20/2025 15:31
497,606,269,Completed,3/6/2025 3:51
498,946,386,Pending,3/16/2025 15:13
499,921,77,Cancelled,3/4/2025 2:43
500,532,102,Completed,3/17/2025 5:29
501,202,671,Completed,3/12/2025 12:22
